58620.0, {'gneJ207': -1.9553572}, {'gneJ207': 6}, {'gneJ207': 7}, 
58630.0, {'gneJ207': -0.90178573}, {'gneJ207': 3}, {'gneJ207': 4}, 
58640.0, {'gneJ207': -1.0089285}, {'gneJ207': 4}, {'gneJ207': 6}, 
58650.0, {'gneJ207': -0.59375}, {'gneJ207': 3}, {'gneJ207': 7}, 
58660.0, {'gneJ207': -0.49107143}, {'gneJ207': 4}, {'gneJ207': 8}, 
58670.0, {'gneJ207': -0.87946427}, {'gneJ207': 4}, {'gneJ207': 9}, 
58680.0, {'gneJ207': -0.23660715}, {'gneJ207': 1}, {'gneJ207': 2}, 
58690.0, {'gneJ207': -0.36160713}, {'gneJ207': 1}, {'gneJ207': 4}, 
58700.0, {'gneJ207': -0.44642857}, {'gneJ207': 3}, {'gneJ207': 4}, 
58710.0, {'gneJ207': -0.70535713}, {'gneJ207': 4}, {'gneJ207': 8}, 
58720.0, {'gneJ207': -0.13839285}, {'gneJ207': 1}, {'gneJ207': 2}, 
58730.0, {'gneJ207': -0.15178572}, {'gneJ207': 3}, {'gneJ207': 6}, 
58740.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
58750.0, {'gneJ207': -0.08928572}, {'gneJ207': 1}, {'gneJ207': 3}, 
58760.0, {'gneJ207': -0.19642857}, {'gneJ207': 2}, {'gneJ207': 4}, 
58770.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
58780.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
58790.0, {'gneJ207': -0.04464286}, {'gneJ207': 1}, {'gneJ207': 1}, 
58800.0, {'gneJ207': -0.013392857}, {'gneJ207': 1}, {'gneJ207': 1}, 
58810.0, {'gneJ207': -0.058035713}, {'gneJ207': 1}, {'gneJ207': 1}, 
58820.0, {'gneJ207': -0.116071425}, {'gneJ207': 1}, {'gneJ207': 2}, 
58830.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
58840.0, {'gneJ207': -0.06696428}, {'gneJ207': 2}, {'gneJ207': 4}, 
58850.0, {'gneJ207': -0.3125}, {'gneJ207': 3}, {'gneJ207': 7}, 
58860.0, {'gneJ207': -0.76339287}, {'gneJ207': 5}, {'gneJ207': 12}, 
58870.0, {'gneJ207': -0.6339286}, {'gneJ207': 3}, {'gneJ207': 8}, 
58880.0, {'gneJ207': -1.0491072}, {'gneJ207': 6}, {'gneJ207': 14}, 
58890.0, {'gneJ207': -0.22767857}, {'gneJ207': 3}, {'gneJ207': 5}, 
58900.0, {'gneJ207': -0.6473214}, {'gneJ207': 5}, {'gneJ207': 15}, 
58910.0, {'gneJ207': -0.21428572}, {'gneJ207': 2}, {'gneJ207': 3}, 
58920.0, {'gneJ207': -0.45982143}, {'gneJ207': 4}, {'gneJ207': 10}, 
58930.0, {'gneJ207': -0.38839287}, {'gneJ207': 2}, {'gneJ207': 7}, 
58940.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
58950.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
58960.0, {'gneJ207': -0.035714287}, {'gneJ207': 1}, {'gneJ207': 1}, 
58970.0, {'gneJ207': -0.04910714}, {'gneJ207': 1}, {'gneJ207': 2}, 
58980.0, {'gneJ207': -0.06696428}, {'gneJ207': 1}, {'gneJ207': 1}, 
58990.0, {'gneJ207': -0.035714287}, {'gneJ207': 1}, {'gneJ207': 1}, 
59000.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
59010.0, {'gneJ207': -0.05357143}, {'gneJ207': 1}, {'gneJ207': 2}, 
59020.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
59030.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
59040.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
59050.0, {'gneJ207': -0.04017857}, {'gneJ207': 1}, {'gneJ207': 2}, 
59060.0, {'gneJ207': 0.0}, {'gneJ207': 0}, {'gneJ207': 0}, 
59070.0, {'gneJ207': -0.008928572}, {'gneJ207': 1}, {'gneJ207': 1}, 
59080.0, {'gneJ207': -0.06696428}, {'gneJ207': 1}, {'gneJ207': 2}, 
