26180.0, {'GS_cluster_357187_359543': -0.73660713}, {'GS_cluster_357187_359543': 6}, {'GS_cluster_357187_359543': 15}, 
26190.0, {'GS_cluster_357187_359543': -1.0625}, {'GS_cluster_357187_359543': 9}, {'GS_cluster_357187_359543': 15}, 
26200.0, {'GS_cluster_357187_359543': -1.8348215}, {'GS_cluster_357187_359543': 9}, {'GS_cluster_357187_359543': 19}, 
26210.0, {'GS_cluster_357187_359543': -2.138393}, {'GS_cluster_357187_359543': 7}, {'GS_cluster_357187_359543': 19}, 
26220.0, {'GS_cluster_357187_359543': -2.3169644}, {'GS_cluster_357187_359543': 6}, {'GS_cluster_357187_359543': 22}, 
26230.0, {'GS_cluster_357187_359543': -2.71875}, {'GS_cluster_357187_359543': 5}, {'GS_cluster_357187_359543': 23}, 
26240.0, {'GS_cluster_357187_359543': -2.0669644}, {'GS_cluster_357187_359543': 5}, {'GS_cluster_357187_359543': 22}, 
26250.0, {'GS_cluster_357187_359543': -2.607143}, {'GS_cluster_357187_359543': 7}, {'GS_cluster_357187_359543': 26}, 
26260.0, {'GS_cluster_357187_359543': -3.6964285}, {'GS_cluster_357187_359543': 10}, {'GS_cluster_357187_359543': 36}, 
26270.0, {'GS_cluster_357187_359543': -4.0}, {'GS_cluster_357187_359543': 12}, {'GS_cluster_357187_359543': 39}, 
26280.0, {'GS_cluster_357187_359543': -4.0}, {'GS_cluster_357187_359543': 16}, {'GS_cluster_357187_359543': 44}, 
26290.0, {'GS_cluster_357187_359543': -4.0}, {'GS_cluster_357187_359543': 16}, {'GS_cluster_357187_359543': 44}, 
26300.0, {'GS_cluster_357187_359543': -4.0}, {'GS_cluster_357187_359543': 16}, {'GS_cluster_357187_359543': 46}, 
26310.0, {'GS_cluster_357187_359543': -4.0}, {'GS_cluster_357187_359543': 16}, {'GS_cluster_357187_359543': 47}, 
26320.0, {'GS_cluster_357187_359543': -4.0}, {'GS_cluster_357187_359543': 16}, {'GS_cluster_357187_359543': 41}, 
26330.0, {'GS_cluster_357187_359543': -4.0}, {'GS_cluster_357187_359543': 16}, {'GS_cluster_357187_359543': 43}, 
26340.0, {'GS_cluster_357187_359543': -4.0}, {'GS_cluster_357187_359543': 13}, {'GS_cluster_357187_359543': 31}, 
26350.0, {'GS_cluster_357187_359543': -4.0}, {'GS_cluster_357187_359543': 13}, {'GS_cluster_357187_359543': 31}, 
26360.0, {'GS_cluster_357187_359543': -4.0}, {'GS_cluster_357187_359543': 9}, {'GS_cluster_357187_359543': 20}, 
26370.0, {'GS_cluster_357187_359543': -3.549107}, {'GS_cluster_357187_359543': 4}, {'GS_cluster_357187_359543': 14}, 
26380.0, {'GS_cluster_357187_359543': -2.1830356}, {'GS_cluster_357187_359543': 4}, {'GS_cluster_357187_359543': 9}, 
26390.0, {'GS_cluster_357187_359543': -0.55803573}, {'GS_cluster_357187_359543': 3}, {'GS_cluster_357187_359543': 8}, 
26400.0, {'GS_cluster_357187_359543': -0.2544643}, {'GS_cluster_357187_359543': 4}, {'GS_cluster_357187_359543': 8}, 
26410.0, {'GS_cluster_357187_359543': -0.8973214}, {'GS_cluster_357187_359543': 9}, {'GS_cluster_357187_359543': 18}, 
26420.0, {'GS_cluster_357187_359543': -1.3571428}, {'GS_cluster_357187_359543': 11}, {'GS_cluster_357187_359543': 20}, 
26430.0, {'GS_cluster_357187_359543': -0.98214287}, {'GS_cluster_357187_359543': 6}, {'GS_cluster_357187_359543': 13}, 
26440.0, {'GS_cluster_357187_359543': -0.94196427}, {'GS_cluster_357187_359543': 6}, {'GS_cluster_357187_359543': 10}, 
26450.0, {'GS_cluster_357187_359543': -1.6339285}, {'GS_cluster_357187_359543': 11}, {'GS_cluster_357187_359543': 21}, 
26460.0, {'GS_cluster_357187_359543': -1.4285715}, {'GS_cluster_357187_359543': 10}, {'GS_cluster_357187_359543': 20}, 
26470.0, {'GS_cluster_357187_359543': -0.8839286}, {'GS_cluster_357187_359543': 6}, {'GS_cluster_357187_359543': 16}, 
26480.0, {'GS_cluster_357187_359543': -0.69196427}, {'GS_cluster_357187_359543': 4}, {'GS_cluster_357187_359543': 11}, 
26490.0, {'GS_cluster_357187_359543': -0.8526786}, {'GS_cluster_357187_359543': 7}, {'GS_cluster_357187_359543': 13}, 
26500.0, {'GS_cluster_357187_359543': -0.59375}, {'GS_cluster_357187_359543': 6}, {'GS_cluster_357187_359543': 9}, 
26510.0, {'GS_cluster_357187_359543': -0.23214285}, {'GS_cluster_357187_359543': 3}, {'GS_cluster_357187_359543': 8}, 
26520.0, {'GS_cluster_357187_359543': -0.23214285}, {'GS_cluster_357187_359543': 3}, {'GS_cluster_357187_359543': 5}, 
26530.0, {'GS_cluster_357187_359543': 0.0}, {'GS_cluster_357187_359543': 0}, {'GS_cluster_357187_359543': 0}, 
26540.0, {'GS_cluster_357187_359543': -0.10714286}, {'GS_cluster_357187_359543': 4}, {'GS_cluster_357187_359543': 7}, 
26550.0, {'GS_cluster_357187_359543': -0.071428575}, {'GS_cluster_357187_359543': 1}, {'GS_cluster_357187_359543': 3}, 
26560.0, {'GS_cluster_357187_359543': -0.19196428}, {'GS_cluster_357187_359543': 3}, {'GS_cluster_357187_359543': 6}, 
26570.0, {'GS_cluster_357187_359543': -0.53125}, {'GS_cluster_357187_359543': 5}, {'GS_cluster_357187_359543': 8}, 
26580.0, {'GS_cluster_357187_359543': -0.7901786}, {'GS_cluster_357187_359543': 5}, {'GS_cluster_357187_359543': 10}, 
26590.0, {'GS_cluster_357187_359543': -0.3794643}, {'GS_cluster_357187_359543': 3}, {'GS_cluster_357187_359543': 6}, 
26600.0, {'GS_cluster_357187_359543': -0.92410713}, {'GS_cluster_357187_359543': 7}, {'GS_cluster_357187_359543': 17}, 
26610.0, {'GS_cluster_357187_359543': -1.4910715}, {'GS_cluster_357187_359543': 8}, {'GS_cluster_357187_359543': 24}, 
26620.0, {'GS_cluster_357187_359543': -2.3660715}, {'GS_cluster_357187_359543': 8}, {'GS_cluster_357187_359543': 25}, 
26630.0, {'GS_cluster_357187_359543': -3.0089285}, {'GS_cluster_357187_359543': 11}, {'GS_cluster_357187_359543': 28}, 
26640.0, {'GS_cluster_357187_359543': -4.0}, {'GS_cluster_357187_359543': 13}, {'GS_cluster_357187_359543': 32}, 
26650.0, {'GS_cluster_357187_359543': -4.0}, {'GS_cluster_357187_359543': 15}, {'GS_cluster_357187_359543': 39}, 
26660.0, {'GS_cluster_357187_359543': -4.0}, {'GS_cluster_357187_359543': 16}, {'GS_cluster_357187_359543': 36}, 
26670.0, {'GS_cluster_357187_359543': -4.0}, {'GS_cluster_357187_359543': 13}, {'GS_cluster_357187_359543': 30}, 
26680.0, {'GS_cluster_357187_359543': -3.0625}, {'GS_cluster_357187_359543': 10}, {'GS_cluster_357187_359543': 25}, 
26690.0, {'GS_cluster_357187_359543': -3.9955356}, {'GS_cluster_357187_359543': 12}, {'GS_cluster_357187_359543': 27}, 
26700.0, {'GS_cluster_357187_359543': -3.2276785}, {'GS_cluster_357187_359543': 15}, {'GS_cluster_357187_359543': 26}, 
26710.0, {'GS_cluster_357187_359543': -3.357143}, {'GS_cluster_357187_359543': 17}, {'GS_cluster_357187_359543': 31}, 
26720.0, {'GS_cluster_357187_359543': -4.0}, {'GS_cluster_357187_359543': 18}, {'GS_cluster_357187_359543': 37}, 
26730.0, {'GS_cluster_357187_359543': -4.0}, {'GS_cluster_357187_359543': 14}, {'GS_cluster_357187_359543': 42}, 
26740.0, {'GS_cluster_357187_359543': -4.0}, {'GS_cluster_357187_359543': 16}, {'GS_cluster_357187_359543': 43}, 
26750.0, {'GS_cluster_357187_359543': -4.0}, {'GS_cluster_357187_359543': 16}, {'GS_cluster_357187_359543': 39}, 
26760.0, {'GS_cluster_357187_359543': -4.0}, {'GS_cluster_357187_359543': 16}, {'GS_cluster_357187_359543': 38}, 
26770.0, {'GS_cluster_357187_359543': -4.0}, {'GS_cluster_357187_359543': 16}, {'GS_cluster_357187_359543': 39}, 
26780.0, {'GS_cluster_357187_359543': -4.0}, {'GS_cluster_357187_359543': 16}, {'GS_cluster_357187_359543': 39}, 
26790.0, {'GS_cluster_357187_359543': -4.0}, {'GS_cluster_357187_359543': 16}, {'GS_cluster_357187_359543': 40}, 
26800.0, {'GS_cluster_357187_359543': -4.0}, {'GS_cluster_357187_359543': 13}, {'GS_cluster_357187_359543': 32}, 
26810.0, {'GS_cluster_357187_359543': -4.0}, {'GS_cluster_357187_359543': 12}, {'GS_cluster_357187_359543': 26}, 
26820.0, {'GS_cluster_357187_359543': -4.0}, {'GS_cluster_357187_359543': 9}, {'GS_cluster_357187_359543': 18}, 
26830.0, {'GS_cluster_357187_359543': -2.294643}, {'GS_cluster_357187_359543': 4}, {'GS_cluster_357187_359543': 13}, 
26840.0, {'GS_cluster_357187_359543': -1.5223215}, {'GS_cluster_357187_359543': 6}, {'GS_cluster_357187_359543': 13}, 
26850.0, {'GS_cluster_357187_359543': -2.1964285}, {'GS_cluster_357187_359543': 9}, {'GS_cluster_357187_359543': 18}, 
26860.0, {'GS_cluster_357187_359543': -1.2946428}, {'GS_cluster_357187_359543': 6}, {'GS_cluster_357187_359543': 15}, 
26870.0, {'GS_cluster_357187_359543': -0.8660714}, {'GS_cluster_357187_359543': 7}, {'GS_cluster_357187_359543': 13}, 
26880.0, {'GS_cluster_357187_359543': -1.375}, {'GS_cluster_357187_359543': 12}, {'GS_cluster_357187_359543': 18}, 
26890.0, {'GS_cluster_357187_359543': -1.1651785}, {'GS_cluster_357187_359543': 13}, {'GS_cluster_357187_359543': 17}, 
26900.0, {'GS_cluster_357187_359543': -1.0535715}, {'GS_cluster_357187_359543': 8}, {'GS_cluster_357187_359543': 17}, 
26910.0, {'GS_cluster_357187_359543': -1.0446428}, {'GS_cluster_357187_359543': 4}, {'GS_cluster_357187_359543': 14}, 
26920.0, {'GS_cluster_357187_359543': -1.2366072}, {'GS_cluster_357187_359543': 4}, {'GS_cluster_357187_359543': 14}, 
26930.0, {'GS_cluster_357187_359543': -1.2321428}, {'GS_cluster_357187_359543': 4}, {'GS_cluster_357187_359543': 14}, 
26940.0, {'GS_cluster_357187_359543': -1.7991072}, {'GS_cluster_357187_359543': 5}, {'GS_cluster_357187_359543': 17}, 
26950.0, {'GS_cluster_357187_359543': -0.48214287}, {'GS_cluster_357187_359543': 3}, {'GS_cluster_357187_359543': 10}, 
26960.0, {'GS_cluster_357187_359543': -0.48214287}, {'GS_cluster_357187_359543': 7}, {'GS_cluster_357187_359543': 11}, 
26970.0, {'GS_cluster_357187_359543': -0.92410713}, {'GS_cluster_357187_359543': 9}, {'GS_cluster_357187_359543': 16}, 
26980.0, {'GS_cluster_357187_359543': -0.8973214}, {'GS_cluster_357187_359543': 8}, {'GS_cluster_357187_359543': 17}, 
26990.0, {'GS_cluster_357187_359543': -0.97321427}, {'GS_cluster_357187_359543': 4}, {'GS_cluster_357187_359543': 15}, 
27000.0, {'GS_cluster_357187_359543': -0.35267857}, {'GS_cluster_357187_359543': 2}, {'GS_cluster_357187_359543': 6}, 
27010.0, {'GS_cluster_357187_359543': -0.58035713}, {'GS_cluster_357187_359543': 8}, {'GS_cluster_357187_359543': 10}, 
